"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L4446","DatabaseAccess$DatabaseType","com.serotonin.mango.db.DatabaseAccess$DatabaseType","L1284","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\db\DatabaseAccess.java","48","5","69","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","10","0","1","0","0","0","0","1","1","0","0","0","1","0","3","3","0","0","0","0","0","0","0","1","1","0","0","21","22","0","4","0","4","4","0","0","0","4","3","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"L8695","MBusConnectionType","com.serotonin.mango.rt.dataSource.mbus.MBusConnectionType","L8690","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\dataSource\mbus\MBusConnectionType.java","24","1","26","2","1","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14615","PacketType","com.serotonin.mango.rt.publish.persistent.PacketType","L14591","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\publish\persistent\PacketType.java","3","1","40","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","38","0","2","0","0","0","0","2","3","0","2","0","3","0","0","0","1","0","23","0","2","0","0","3","4","0","0","34","38","0","2","0","2","3","0","2","0","3","23","0","2","0","13","0","0","2","0","12","1","0","12","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"L573","DataSourceVO$Type","com.serotonin.mango.vo.dataSource.DataSourceVO$Type","L407","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\DataSourceVO.java","81","5","292","6","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","94","104","0","3","0","0","0","0","3","8","0","7","0","8","0","27","27","0","0","18","0","7","0","0","8","8","0","1","202","212","0","84","0","3","35","0","34","0","224","45","0","196","0","13","0","0","35","0","8","0","0","8","0","0","0","0","0","0","0","0","1","0","0","28","1","5"
"L24493","PublisherVO$Type","com.serotonin.mango.vo.publish.PublisherVO$Type","L3399","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\publish\PublisherVO.java","56","5","116","6","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","41","49","0","3","0","0","0","0","3","7","0","6","0","7","0","3","3","0","0","16","0","6","0","0","7","7","0","0","53","61","0","12","0","3","10","0","9","0","28","19","0","24","0","12","0","0","5","0","7","0","0","7","0","0","0","0","0","0","0","0","1","0","0","4","0","0"
"L12742","EmailHandlerRT$NotificationType","com.serotonin.mango.rt.event.handlers.EmailHandlerRT$NotificationType","L12732","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\event\handlers\EmailHandlerRT.java","53","5","73","6","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","17","21","0","2","0","0","0","0","2","3","0","2","0","3","0","0","0","0","0","4","0","2","0","0","3","3","0","2","17","21","0","2","0","2","3","0","2","0","3","4","0","2","0","3","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L21247","ModbusIpDataSourceVO$TransportType","com.serotonin.mango.vo.dataSource.modbus.ModbusIpDataSourceVO$TransportType","L4925","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\modbus\ModbusIpDataSourceVO.java","47","5","75","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","24","29","0","2","0","0","0","0","2","4","0","3","0","4","0","0","0","0","0","10","0","3","0","0","4","4","0","0","24","29","0","2","0","2","4","0","3","0","4","10","0","3","0","7","0","0","1","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L21409","ModbusSerialDataSourceVO$EncodingType","com.serotonin.mango.vo.dataSource.modbus.ModbusSerialDataSourceVO$EncodingType","L4898","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\modbus\ModbusSerialDataSourceVO.java","48","5","63","6","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","13","16","0","1","0","0","0","0","1","2","0","1","0","2","0","0","0","0","0","2","0","1","0","0","2","2","0","2","13","16","0","1","0","1","2","0","1","0","2","2","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
