"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DLOC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","LDC","LLDC","LLOC","LOC","MI","MIMS","MISEI","MISM","McCC","NII","NL","NLE","NOI","NOS","NUMPAR","TCD","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Size Metric Rules"
"L1023","View getAnonymousView(int id)","com.serotonin.mango.Common.getAnonymousView(I)Lcom/serotonin/mango/view/View;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","249","5","251","6","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","1","1","1","0","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1030","View getAnonymousView(HttpServletRequest request, int id)","com.serotonin.mango.Common.getAnonymousView(Ljavax/servlet/http/HttpServletRequest;I)Lcom/serotonin/mango/view/View;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","253","5","262","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","0","0","0","4","0","0","0","2","7","2","0","0","10","10","7","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1041","void addAnonymousView(HttpServletRequest request, View view)","com.serotonin.mango.Common.addAnonymousView(Ljavax/servlet/http/HttpServletRequest;Lcom/serotonin/mango/view/View;)V","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","264","5","276","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","12","13","0","0","0","0","4","0","0","0","2","10","2","0","1","12","13","10","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1037","List<View> getAnonymousViews(HttpServletRequest request)","com.serotonin.mango.Common.getAnonymousViews(Ljavax/servlet/http/HttpServletRequest;)Ljava/util/List;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","278","5","281","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","1","0","0","0","0","1","1","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1058","CustomView getCustomView()","com.serotonin.mango.Common.getCustomView()Lcom/serotonin/mango/view/custom/CustomView;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","285","5","287","6","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","1","1","0","0","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1064","CustomView getCustomView(HttpServletRequest request)","com.serotonin.mango.Common.getCustomView(Ljavax/servlet/http/HttpServletRequest;)Lcom/serotonin/mango/view/custom/CustomView;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","289","5","291","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","0","1","1","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1068","void setCustomView(HttpServletRequest request, CustomView view)","com.serotonin.mango.Common.setCustomView(Ljavax/servlet/http/HttpServletRequest;Lcom/serotonin/mango/view/custom/CustomView;)V","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","293","5","295","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","0","1","2","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1071","PropertiesUtils getEnvironmentProfile()","com.serotonin.mango.Common.getEnvironmentProfile()LPropertiesUtils;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","299","5","301","6","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","0","1","0","0","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1074","String getGroveUrl(String servlet)","com.serotonin.mango.Common.getGroveUrl(Ljava/lang/String;)Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","303","5","306","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","1","0","0","0","1","2","1","0","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1077","String getDocPath()","com.serotonin.mango.Common.getDocPath()Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","308","5","310","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","1","1","0","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1084","String getFiledataPath()","com.serotonin.mango.Common.getFiledataPath()Ljava/lang/String;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","314","5","327","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","14","0","0","0","0","4","0","0","0","2","9","0","0","0","12","14","9","0","1","0","0","2","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0"
"L1103","CronTimerTrigger getCronTrigger(int periodType, int delaySeconds)","com.serotonin.mango.Common.getCronTrigger(II)LCronTimerTrigger;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","329","5","364","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","36","0","0","0","0","12","0","0","0","0","18","2","0","0","34","36","18","0","0","1","0","2","2","1","1","0","0","0","0","0","0","0","0","1","0","0","0"
"L1109","List<CommPortProxy> getCommPorts()","com.serotonin.mango.Common.getCommPorts()Ljava/util/List;","L895","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\Common.java","368","5","387","6","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","20","20","0","0","0","0","5","0","0","0","2","11","0","0","2","20","20","11","0","0","0","2","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
