"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","TPDA","TPUA","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L103","C:\Users\meet\Desktop\semProject\mangoSource\src\.columbus_java\MyProject.ljsi","C:\Users\meet\Desktop\semProject\mangoSource\src\.columbus_java\MyProject.ljsi","0.02777","35","323","1746.14","0.79316","83","0.0191798","0.0244122","0.0592119","1764","1491","0.112782","0.124447","0","16933","61076","91972","0","778","128","8","618","2192","47","6601","26114","0","597","7","47","121","5454","979","732","5150","0","217","2923","551","5488","274","519","4796","283","0","421","73","164","0","0"
"L102","<System>","<System>","0.02777","35","323","1746.14","0.79316","83","0.0191798","0.0244122","0.0592119","1764","1491","0.112782","0.124447","0","16933","61076","91972","0","778","128","8","618","2192","47","6601","26114","0","597","7","47","121","5454","979","732","5150","0","217","2923","551","5488","274","519","4796","283","0","421","73","164","0","0"
