"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L3653","ReportDataStreamHandler","com.serotonin.mango.vo.report.ReportDataStreamHandler","L24839","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\report\ReportDataStreamHandler.java","24","1","45","2","1","2","0","0","0","0","0","0","0","0","18","0","18","0","0","0","5","22","0","0","0","0","0","0","0","3","0","3","0","3","0","2","2","0","0","0","0","3","0","4","0","3","0","18","5","22","0","0","0","0","3","0","3","0","3","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6677","SetPointSource$Types","com.serotonin.mango.rt.dataImage.SetPointSource$Types","L250","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\dataImage\SetPointSource.java","30","5","35","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","4","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L8199","HttpMulticastListener","com.serotonin.mango.rt.dataSource.http.HttpMulticastListener","L8063","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\dataSource\http\HttpMulticastListener.java","24","1","32","2","0.2","1","0","0","0","0","0","0","0","0","3","0","3","0","0","0","6","9","0","2","0","0","0","0","2","4","0","4","0","4","0","2","2","0","0","0","0","4","0","1","4","4","0","3","6","9","0","2","0","2","4","0","4","0","4","0","0","4","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L9616","NmeaMessageListener","com.serotonin.mango.rt.dataSource.nmea.NmeaMessageListener","L9607","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\dataSource\nmea\NmeaMessageListener.java","26","1","28","2","0.5","1","0","0","0","0","0","0","0","0","3","0","3","0","0","0","3","3","0","0","0","0","0","0","0","1","0","1","0","1","0","2","2","0","0","0","0","1","0","1","1","1","0","3","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L12624","EventInstance$RtnCauses","com.serotonin.mango.rt.event.EventInstance$RtnCauses","L2105","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\event\EventInstance.java","32","5","35","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L12627","EventInstance$AlternateAcknowledgementSources","com.serotonin.mango.rt.event.EventInstance$AlternateAcknowledgementSources","L2105","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\event\EventInstance.java","37","5","40","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L3318","WorkItem","com.serotonin.mango.rt.maint.work.WorkItem","L14068","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\maint\work\WorkItem.java","25","1","46","2","0.333333","0","0","0","0","0","0","0","0","0","15","0","15","0","0","0","7","22","0","1","0","0","0","0","1","2","0","2","0","2","0","10","10","0","0","0","0","2","0","1","2","2","0","15","7","22","0","1","0","1","2","0","2","0","2","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L24331","Permissions$DataPointAccessTypes","com.serotonin.mango.vo.permission.Permissions$DataPointAccessTypes","L24329","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\permission\Permissions.java","40","5","46","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L26559","DataPointDefaulter","com.serotonin.mango.web.dwr.beans.DataPointDefaulter","L26275","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\beans\DataPointDefaulter.java","26","1","28","2","0.5","1","0","0","0","0","0","0","0","0","3","0","3","0","0","0","3","3","0","0","0","0","0","0","0","1","0","1","1","1","0","2","2","0","0","0","0","1","1","1","1","1","0","3","3","3","0","0","0","0","1","0","1","1","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L25797","TestingUtility","com.serotonin.mango.web.dwr.beans.TestingUtility","L26275","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\web\dwr\beans\TestingUtility.java","24","1","26","2","0.5","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","3","3","0","0","0","0","0","0","0","1","0","1","0","1","0","10","10","0","0","0","0","1","0","1","1","1","0","3","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L13392","EventType$EventSources","com.serotonin.mango.rt.event.type.EventType$EventSources","L2122","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\event\type\EventType.java","51","5","105","6","0","0","0","1","1","1","0","1","1","1","38","0","38","0","55","10","10","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","38","10","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","8","0","8","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0"
"L13404","EventType$DuplicateHandling","com.serotonin.mango.rt.event.type.EventType$DuplicateHandling","L2122","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\rt\event\type\EventType.java","125","5","149","6","1","0","0","0","0","0","0","0","0","0","22","0","22","0","0","0","6","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","22","6","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20090","PointTypeVO$Types","com.serotonin.mango.vo.dataSource.galil.PointTypeVO$Types","L7973","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\galil\PointTypeVO.java","41","5","47","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","10","0","5","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L20599","InternalPointLocatorVO$Attributes","com.serotonin.mango.vo.dataSource.internal.InternalPointLocatorVO$Attributes","L8497","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\internal\InternalPointLocatorVO.java","47","5","55","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","7","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L21664","OneWirePointLocatorVO$AttributeTypes","com.serotonin.mango.vo.dataSource.onewire.OneWirePointLocatorVO$AttributeTypes","L10153","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\onewire\OneWirePointLocatorVO.java","50","5","57","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L22179","SnmpDataSourceVO$AuthProtocols","com.serotonin.mango.vo.dataSource.snmp.SnmpDataSourceVO$AuthProtocols","L10886","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\snmp\SnmpDataSourceVO.java","56","5","60","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L22183","SnmpDataSourceVO$PrivProtocols","com.serotonin.mango.vo.dataSource.snmp.SnmpDataSourceVO$PrivProtocols","L10886","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\snmp\SnmpDataSourceVO.java","62","5","68","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L22300","SnmpPointLocatorVO$SetTypes","com.serotonin.mango.vo.dataSource.snmp.SnmpPointLocatorVO$SetTypes","L10961","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\snmp\SnmpPointLocatorVO.java","51","5","62","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","10","0","10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L22464","SpinwaveV1PointLocatorVO$AttributeTypes","com.serotonin.mango.vo.dataSource.spinwave.SpinwaveV1PointLocatorVO$AttributeTypes","L22421","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\spinwave\SpinwaveV1PointLocatorVO.java","39","5","44","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L22898","ChangeTypeVO$Types","com.serotonin.mango.vo.dataSource.virtual.ChangeTypeVO$Types","L22783","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\virtual\ChangeTypeVO.java","43","5","53","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","18","0","9","9","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L23276","VMStatDataSourceVO$OutputScale","com.serotonin.mango.vo.dataSource.vmstat.VMStatDataSourceVO$OutputScale","L11783","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\vmstat\VMStatDataSourceVO.java","66","5","72","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L23317","VMStatPointLocatorVO$Attributes","com.serotonin.mango.vo.dataSource.vmstat.VMStatPointLocatorVO$Attributes","L11877","L103","C:\Users\meet\Desktop\semProject\mangoSource\src\com\serotonin\mango\vo\dataSource\vmstat\VMStatPointLocatorVO.java","47","5","65","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","17","0","17","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
